ID	LATITUDE	LONGITUDE
524697	52.8179319	39.4033648
524715	52.5577272	39.4998792
524775	52.6628448	39.6317897
524773	52.0623759	39.7096512
524782	52.3115732	38.3597883
524698	52.6040323	38.9876965
524720	52.5930421	38.4160749
524694	52.5466627	39.6764697
524784	51.978572	38.1268338
524717	52.728786	38.3581336
519580	53.1508466	34.8523906
524690	52.728786	38.3581336
524705	52.728786	38.3581336
524785	52.4852997	39.4245195
524708	52.4852997	39.4245195
524688	52.5729655	39.6973804
524772	52.4741209	39.9674395
524691	52.5110698	39.6383611
524700	53.008743	39.2104176
524701	53.1902927	39.9976467
524711	52.5466627	39.6764697
524712	52.539012	40.0705138
524710	52.5330697	39.6597644
524695	52.5330697	39.6597644
524719	52.7928438	38.8092319
524777	52.6231509	39.5595423
524774	52.5224209	39.8117766
524787	52.5732315	38.5521736
524723	52.1549538	38.30458
524716	53.008743	39.2104176
524778	52.5971126	39.5087269
524709	52.653157	39.2183829
524702	53.0129936	39.1145433
524686	52.5732315	38.5521736
524780	52.1567985	38.3003658
524722	52.1549538	38.30458
524704	52.5929519	39.5909802
527832	50.6061837	36.6653335
527838	51.2141911	37.5926983
527814	51.0575915	37.9054851
527834	51.3146324	37.6410522
527828	51.1534164	37.9379044
527803	51.2669565	37.966528
527722	50.4744274	37.875667
527728	50.5990714	36.6164302
527737	50.5751365	36.5973024
527721	51.0602049	37.3597714
527701	50.7900924	35.7954467
527823	50.3757448	36.8805981
527824	50.614216	38.6794877
527738	50.8696728	36.3998649
527718	51.3097376	37.7809939
527820	50.501744	36.3943604
527730	50.5609066	36.5806463
527813	51.0575915	37.9054851
527801	51.2669565	37.966528
527707	50.9086677	37.8057534
527810	51.0264528	36.7087404
527720	51.1543853	37.7634363
527839	51.2141911	37.5926983
527716	50.834862	36.6318681
527833	50.6061837	36.6653335
527822	50.3757448	36.8805981
527812	50.6061837	36.6653335
527836	51.3107536	37.6544687
527819	50.7844093	35.6615594
527818	51.2141911	37.5926983
527725	50.614216	38.6794877
527739	51.3573759	37.5165886
527740	50.5751365	36.5973024
527827	50.3767613	36.4920574
527817	51.0265629	36.7047436
527717	51.3377589	37.8486559
527702	50.6643376	36.2416912
527727	50.6879377	36.8812494
527831	50.6061837	36.6653335
527829	50.657357	36.4148248
527715	50.049272	38.9224887
527802	51.2669565	37.966528
527821	50.7842524	37.8977582
527709	50.8696728	36.3998649
527741	50.5512064	36.5230869
527816	51.0575915	37.9054851
523678	51.6775878	35.6040337
527808	50.1957434	38.1695522
527815	51.1056007	37.8953084
527825	50.4886441	35.6958106
527710	50.78847	38.4433385
527835	51.3107536	37.6544687
527706	50.5598006	36.5814783
527703	50.6144822	36.6592204
527723	50.4351373	38.2969318
527733	50.6113698	36.5656832
527830	50.657357	36.4148248
527714	50.1568799	38.4280307
527804	51.2826	37.5800655
527719	50.6846961	36.6271725
527711	50.409286	36.9170008
527729	51.2892241	37.5358502
527712	50.3757448	36.8805981
205194	53.3014041	50.2940119
205185	54.1794095	50.3237955
205128	53.1098815	49.9222586
205192	53.4221105	49.4719423
205110	53.5462134	49.4584117
205176	51.9379388	50.8229933
205181	52.8143995	49.6739108
205190	53.5162079	49.4310773
205184	52.7885155	49.4564569
205169	53.4221105	49.4719423
205148	52.8143995	49.6739108
205145	53.2350752	50.835037
205162	53.4221105	49.4719423
205180	52.9295369	49.6866948
205114	53.2531054	50.2822703
205142	53.4221105	49.4719423
205152	53.6577195	49.6981263
205153	53.0711148	50.0036355
205147	53.1858289	48.7796169
205151	53.0711148	50.0036355
205155	53.8856883	51.1926906
205125	53.2477678	50.1837444
205111	53.5769138	49.2417467
205161	53.4221105	49.4719423
205116	53.1789584	50.234715
205129	53.0816056	49.8696941
205105	53.1993043	48.4830118
205124	53.2555543	50.2992854
205183	52.7004171	50.072248
205150	53.2694084	50.5116081
100848	52.6955404	52.2243817
205199	53.6151523	49.78893
205171	53.1254806	48.3899571
205113	53.2555543	50.2992854
205177	53.501505	49.4277337
205159	53.5600909	49.5429547
205163	53.4221105	49.4719423
205160	53.0176094	49.8119554
205106	53.1993043	48.4830118
205104	53.5280539	49.4026598
205137	52.9894283	50.5331597
205141	53.2477678	50.1837444
205191	53.1850257	50.1600737
205198	53.6151523	49.78893
205138	52.9894283	50.5331597
205164	53.4221105	49.4719423
205115	53.1789584	50.234715
205182	52.7004171	50.072248
205134	53.3951944	48.012305
205172	53.0651075	48.3970794
205170	53.1254806	48.3899571
205195	53.507018	50.1214791
205112	53.5600909	49.5429547
205193	52.9959251	50.5563492
529336	59.4394637	37.933833
529896	59.4408815	40.1404037
529322	59.5878711	41.5044729
529881	59.1845059	39.8430228
529903	59.3664699	37.8817924
529889	59.0727005	37.9312518
529874	59.2278328	37.1280718
529900	59.3664699	37.8817924
529880	59.1918589	39.637006
529895	59.2214969	37.6245128
529876	59.127708	37.8286457
529350	59.2269694	37.9809633
529883	58.7863901	40.2570335
529902	60.9575424	46.4880997
529314	59.614564	40.8787621
529866	59.4978919	42.5165399
529012	60.7552895	46.2526098
529873	59.202928	39.7940211
529021	60.9393919	36.5473616
529013	59.2217624	37.1132407
529871	59.0727005	37.9312518
529354	60.0063363	41.0697733
529887	58.9743277	39.9625179
529205	59.1930474	39.7153708
529002	59.1457987	37.563895
529352	60.4607307	40.2278471
529346	59.1104531	38.0259572
529009	59.2169356	37.1800411
529015	60.4640296	46.4736323
529912	59.4870436	35.6326573
529877	59.7558477	45.3536445
529893	59.202928	39.7940211
529870	59.5119509	40.3558459
529913	59.1955495	39.7172587
529003	59.1790063	37.761208
529342	59.5119509	40.3558459
529206	59.1350231	37.998335
529334	59.3664699	37.8817924
529891	60.7332988	42.0222895
529008	59.2169356	37.1800411
529010	59.2823366	36.4463236
529323	59.2157742	39.167829
529911	60.8520547	35.9794256
529307	59.2157742	39.167829
529215	59.2365828	38.4947542
529888	58.9743277	39.9625179
529316	59.7577271	44.2273001
529901	59.3664699	37.8817924
529879	59.1951513	39.9410133
529909	60.5352304	44.9294804
529218	59.137885	37.8483564
529882	59.4408815	40.1404037
